0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0.00049975
1.1,0.0061673
1.11,0.022743
1.12,0.051093
1.13,0.090616
1.14,0.1393
1.15,0.19278
1.16,0.24891
1.17,0.30478
1.18,0.35782
1.19,0.40647
1.2,0.45013
1.21,0.48889
1.22,0.52324
1.23,0.55375
1.24,0.58098
1.25,0.60548
1.26,0.62775
1.27,0.64818
1.28,0.66736
1.29,0.68637
1.3,0.70551
1.31,0.72491
1.32,0.74468
1.33,0.7649
1.34,0.78558
1.35,0.80673
1.36,0.82833
1.37,0.85033
1.38,0.87267
1.39,0.89528
1.4,0.91809
1.41,0.941
1.42,0.96393
1.43,0.98679
1.44,1.0095
1.45,1.032
1.46,1.0541
1.47,1.0759
1.48,1.0972
1.49,1.118
1.5,1.1382
1.51,1.1579
1.52,1.1769
1.53,1.1952
1.54,1.2128
1.55,1.2297
1.56,1.246
1.57,1.2614
1.58,1.2762
1.59,1.2907
1.6,1.305
1.61,1.3189
1.62,1.3327
1.63,1.3461
1.64,1.3594
1.65,1.3725
1.66,1.3853
1.67,1.398
1.68,1.4106
1.69,1.4229
1.7,1.4351
1.71,1.4472
1.72,1.4592
1.73,1.471
1.74,1.4827
1.75,1.4943
1.76,1.5059
1.77,1.5174
1.78,1.5288
1.79,1.5402
1.8,1.5516
1.81,1.5629
1.82,1.5742
1.83,1.5855
1.84,1.5968
1.85,1.6082
1.86,1.6195
1.87,1.6309
1.88,1.6424
1.89,1.6538
1.9,1.6653
1.91,1.6769
1.92,1.6886
1.93,1.7003
1.94,1.7121
1.95,1.7239
1.96,1.7359
1.97,1.7479
1.98,1.7601
1.99,1.7723
2,1.7846
2.01,1.797
2.02,1.8096
2.03,1.8222
2.04,1.835
2.05,1.8479
2.06,1.8609
